Month,Unemployment Rate
2009 DEC,7.7
2010 JAN,7.9
2010 FEB,8
2010 MAR,8
2010 APR,7.9
2010 MAY,7.9
2010 JUN,7.8
2010 JUL,7.8
2010 AUG,7.8
2010 SEP,7.9
2010 OCT,7.9
2010 NOV,7.9
2010 DEC,7.9
2011 JAN,7.8
2011 FEB,7.8
2011 MAR,7.7
2011 APR,7.8
2011 MAY,7.9
2011 JUN,8
2011 JUL,8.2
2011 AUG,8.3
2011 SEP,8.4
2011 OCT,8.5
2011 NOV,8.4
2011 DEC,8.4
