,0
112,21610.014859217765
113,18137.636454222014
114,21394.35341281444
115,23082.42050195902
116,20608.70146282387
117,23426.81702067607
118,19387.12789708001
119,9871.244437625475
120,19761.25864547691
121,22529.066860192735
122,20895.98546686441
123,33604.6115679868
124,16156.09785328026
125,10952.497364698758
126,23756.910292128487
127,35588.9007130596
128,26418.45009824332
129,31766.923104800408
130,21569.17135270325
131,12178.51110789152
132,23944.39129091303
133,23528.825067491944
134,20090.551710601278
135,28420.599102647317
136,15202.554871614288
137,20532.66233870114
138,20613.24257235023
139,33174.89219457455
140,28415.93539675487
141,30672.53399676634
142,19055.305187832724
143,28787.053306348647
144,24947.759192895966
145,24488.013564887886
146,20131.21004306699
147,40857.35821627981
148,20557.4016986805
149,20554.06883719234
150,20448.346130776445
151,21658.210429757655
152,26169.685641893244
153,53485.98313308521
154,18575.48992189228
155,11445.86408433987
156,20261.933741488698
157,15186.402915838204
158,21445.451914335303
159,35911.32033691547
160,16510.784044204884
161,9102.41632003236
162,14606.17436567263
163,19885.852463640796
164,36848.63975265973
165,28917.057858251133
166,14988.82308128377
167,13568.778575914486
168,23493.38230061936
169,19860.35281354187
170,41374.03002637083
171,19279.09677736879
172,18651.008100487885
173,12611.218005630964
174,18231.517850942182
175,18464.867829774532
176,35644.40482323346
177,28458.669621642523
178,15611.09013226864
179,28455.07006430475
180,23140.0673851678
181,23049.000868555482
182,24153.169552208532
183,23913.1354880347
184,32335.87471895419
185,29051.931614765937
186,42194.417072495235
187,22173.190017939407
188,42710.21716957462
189,26283.755314142785
190,17791.28037104263
191,22299.096816737896
192,62164.96804986016
193,30570.675841253185
194,40980.02453699033
195,28228.73522755473
196,29646.09844442508
197,24401.598040556593
198,33993.376131651436
199,35167.81801371137
200,39944.15848823783
201,29635.789451567176
202,15554.999769418595
203,38672.61875243457
204,37823.03866384581
205,48408.502640060164
206,47828.24446262957
207,39758.8194975286
208,14986.914244936703
209,36202.17754324448
210,33623.870195978125
211,24414.228333952276
212,24344.56529139863
213,24884.292199311218
214,16800.81451399889
215,30951.172721723775
216,39125.57016929973
217,25327.315467521228
218,26809.223126964047
219,32272.749076617896
220,14650.85489381792
221,39689.73443469692
222,38345.13283660164
223,30800.737276756216
224,39915.526418737674
225,28692.785750425828
226,28915.82084318487
227,31272.031887667374
228,25550.56046626659
229,38706.10098479263
230,49003.74089743485
231,49772.71515075204
232,30220.51732333826
233,45159.372226913714
234,39436.441145059034
235,55058.432919268045
236,44221.169572766004
237,37782.97807503383
238,29479.583927578307
239,65024.366984559725
240,39640.62592587336
241,41505.19766393621
242,36874.253919837625
243,33330.76689117867
244,29102.37354280833
245,36671.417223473574
246,48629.676138217874
247,44477.708547194066
248,34826.62274329032
249,45287.17462482271
250,19895.03174010649
251,41245.73186206141
252,41693.20650847269
253,36366.53496086026
254,42257.02664458367
255,43232.01260430369
256,22892.37284685935
257,65509.07166031005
258,46434.778271432544
259,48270.57617430382
260,52941.282278738334
261,128747.88504199008
